"","Theatre","Show","Type","Date","Year","Month","Avg_Attendance","Avg_Gross","Avg_Capacity"
"201","Plymouth","Jekyll & Hyde","Musical","2/20/00",2000,2,7274,409138,85
"202","Martin Beck","Kiss Me, Kate","Musical","2/20/00",2000,2,9709,649912,85
"203","Imperial","Les Miserables","Musical","2/20/00",2000,2,9231,463980,81
"204","Broadway","Miss Saigon","Musical","2/20/00",2000,2,9707,431899,70
"205","Ethel Barrymore","Putting It Together","Musical","2/20/00",2000,2,6196,331243,71
"206","Nederlander","Rent","Musical","2/20/00",2000,2,8935,496965,95
"207","Minskoff","Saturday Night Fever","Musical","2/20/00",2000,2,10945,675286,81
"208","Helen Hayes","Squonk","Musical","2/20/00",2000,2,2067,69665,45
"209","St. James","Swing!","Musical","2/20/00",2000,2,9395,458726,69
"210","New Amsterdam","The Lion King","Musical","2/20/00",2000,2,14527,935542,101
"211","Majestic","The Phantom Of The Opera","Musical","2/20/00",2000,2,12107,669310,94
"212","Royale","The Price 99","Play","2/20/00",2000,2,5890,197899,68
"213","Circle In The Square","True West","Play","2/20/00",2000,2,2207,98096,89
"214","Eugene O'Neill","Waiting In The Wings","Play","2/20/00",2000,2,3860,208053,72
"215","Palace","Aida","Musical","2/27/00",2000,2,7799,444124,91
"216","Music Box","Amadeus","Play","2/27/00",2000,2,6458,259088,81
"217","Marquis","Annie Get Your Gun","Musical","2/27/00",2000,2,11185,626106,88
"218","Lunt-Fontanne","Beauty And The Beast","Musical","2/27/00",2000,2,11132,564539,94
"219","Studio 54 ('98)","Cabaret 98","Musical","2/27/00",2000,2,6871,439946,93
"220","Winter Garden","Cats","Musical","2/27/00",2000,2,10416,495900,88
"221","Shubert","Chicago","Musical","2/27/00",2000,2,10442,641064,89
"222","Booth","Dame Edna: The Royal Tour","Play","2/27/00",2000,2,5495,271112,90
"223","Richard Rodgers","Footloose","Musical","2/27/00",2000,2,9170,398613,85
"224","Broadhurst","Fosse","Musical","2/27/00",2000,2,7982,522902,87
"225","Golden","Jackie Mason: Much Ado About Everything","Play","2/27/00",2000,2,3503,179110,101
"226","Belasco","James Joyce'S The Dead","Musical","2/27/00",2000,2,6326,294922,79
"227","Plymouth","Jekyll & Hyde","Musical","2/27/00",2000,2,8222,448428,97
"228","Martin Beck","Kiss Me, Kate","Musical","2/27/00",2000,2,10082,680335,89
"229","Imperial","Les Miserables","Musical","2/27/00",2000,2,10417,462127,92
"230","Broadway","Miss Saigon","Musical","2/27/00",2000,2,10668,445047,77
"231","Nederlander","Rent","Musical","2/27/00",2000,2,9126,490799,97
"232","Minskoff","Saturday Night Fever","Musical","2/27/00",2000,2,11251,664724,83
"233","Helen Hayes","Squonk","Musical","2/27/00",2000,2,2357,79009,51
"234","St. James","Swing!","Musical","2/27/00",2000,2,11047,503744,81
"235","New Amsterdam","The Lion King","Musical","2/27/00",2000,2,14515,934636,101
"236","Majestic","The Phantom Of The Opera","Musical","2/27/00",2000,2,12538,718616,98
"237","Royale","The Price 99","Play","2/27/00",2000,2,6364,217492,74
"238","Circle In The Square","True West","Play","2/27/00",2000,2,3241,135464,88
"239","Eugene O'Neill","Waiting In The Wings","Play","2/27/00",2000,2,4725,222471,88
"240","Palace","Aida","Musical","3/5/00",2000,3,11092,591514,92
"241","Music Box","Amadeus","Play","3/5/00",2000,3,5332,221378,67
"242","Marquis","Annie Get Your Gun","Musical","3/5/00",2000,3,9055,495913,71
"243","Lunt-Fontanne","Beauty And The Beast","Musical","3/5/00",2000,3,9994,484837,85
"244","Studio 54 ('98)","Cabaret 98","Musical","3/5/00",2000,3,6749,432534,92
"245","Winter Garden","Cats","Musical","3/5/00",2000,3,8623,397737,73
"246","Shubert","Chicago","Musical","3/5/00",2000,3,7955,475094,68
"247","Vivian Beaumont","Contact","Musical","3/5/00",2000,3,3994,261610,94
"248","Booth","Dame Edna: The Royal Tour","Play","3/5/00",2000,3,4483,222208,73
"249","Richard Rodgers","Footloose","Musical","3/5/00",2000,3,8497,340892,79
