,Year,Month,Week,Total Weekly Gross,Show Title,Theatre,Avg. Ticket Price,Seats Sold,Seats in Theatre
16553,2000,February,36,328173.0,Jekyll & Hyde,Plymouth Theatre,51.18,6412,1064
16554,2000,February,36,609090.0,"Kiss Me, Kate",Martin Beck Theatre,64.28,9476,1422
16555,2000,February,36,354250.0,Les Miserables,Imperial Theatre,45.67,7756,1417
16556,2000,February,36,265584.0,Miss Saigon,Broadway Theatre,42.82,6203,1743
16557,2000,February,36,161823.0,Much Ado About Everything,John Golden Theatre,51.4,3148,578
16558,2000,February,36,292941.0,Putting It Together,Ethel Barrymore Theatre,52.08,5625,1096
16559,2000,February,36,399676.0,Rent,Nederlander Theatre,51.33,7787,1181
16560,2000,February,36,575868.0,Saturday Night Fever,Minskoff Theatre,56.91,10119,1686
16561,2000,February,36,356321.0,Swing!,St. James Theatre,45.31,7864,1710
16562,2000,February,36,937552.0,The Lion King,Minskoff Theatre,64.57,14519,1793
16563,2000,February,36,551417.0,The Phantom of the Opera,Majestic Theatre,53.03,10398,1607
16564,2000,February,36,181639.0,The Price,Royale Theatre,33.19,5472,1078
16565,2000,February,36,222878.0,Waiting in the Wings,Eugene O'Neill Theatre,55.4,4023,947
16566,2000,February,36,108741.0,Wrong Mountain,Eugene O'Neill Theatre,28.9,3763,1105
16567,2000,February,37,246998.0,Amadeus,Music Box Theatre,43.93,5623,993
16568,2000,February,37,483060.0,Annie Get Your Gun,Marquis Theatre,54.03,8941,1595
16569,2000,February,37,512638.0,Beauty and the Beast,Lunt-Fontanne Theatre,51.72,9911,1474
16570,2000,February,37,405012.0,Cabaret,Studio 54,64.42,6287,920
16571,2000,February,37,275627.0,Cats,Winter Garden Theatre,46.96,5869,1482
16572,2000,February,37,598814.0,Chicago,Ambassador Theatre,61.57,9725,1460
16573,2000,February,37,240515.0,Dame Edna: The Royal Tour,Booth Theatre,54.28,4431,765
16574,2000,February,37,344695.0,Footloose,Richard Rodgers Theatre,41.45,8316,1348
16575,2000,February,37,453398.0,Fosse,Broadhurst Theatre,68.63,6606,1141
16576,2000,February,37,306659.0,James Joyce's The Dead,Belasco Theatre,50.64,6056,996
16577,2000,February,37,359846.0,Jekyll & Hyde,Plymouth Theatre,54.73,6575,1064
16578,2000,February,37,611010.0,"Kiss Me, Kate",Martin Beck Theatre,66.48,9191,1422
16579,2000,February,37,416994.0,Les Miserables,Imperial Theatre,50.15,8315,1417
